Timestamp,Equipment_ID,Earth_Pit_ID,Earth_Resistance_Ohm,Soil_Moisture_Percent,Soil_Temperature_C,Soil_Resistivity_Ohm_m,Leakage_Current_mA
2026-01-01 00:00:00,TR-01,TR-01-EP-01,1.716,44.42,24.89,103.55,19.0
2026-01-01 00:15:00,TR-01,TR-01-EP-02,1.541,50.02,25.61,82.31,17.59
2026-01-01 00:30:00,TR-01,TR-01-EP-03,1.571,51.27,25.49,91.92,20.87
2026-01-01 00:45:00,TR-01,TR-01-EP-04,1.498,50.86,26.93,83.2,25.4
2026-01-01 01:00:00,TR-01,TR-01-EP-01,1.712,45.42,25.26,102.96,18.99
2026-01-01 01:15:00,TR-01,TR-01-EP-02,1.539,50.9,26.04,82.09,17.58
2026-01-01 01:30:00,TR-01,TR-01-EP-03,1.574,51.87,25.95,92.29,20.88
2026-01-01 01:45:00,TR-01,TR-01-EP-04,1.507,51.07,27.42,84.31,25.42
2026-01-01 02:00:00,TR-01,TR-01-EP-01,1.709,46.4,25.67,102.52,18.98
2026-01-01 02:15:00,TR-01,TR-01-EP-02,1.539,51.72,26.49,82.07,17.58
2026-01-01 02:30:00,TR-01,TR-01-EP-03,1.579,52.37,26.44,92.9,20.9
2026-01-01 02:45:00,TR-01,TR-01-EP-04,1.518,51.16,27.92,85.65,25.45
2026-01-01 03:00:00,TR-01,TR-01-EP-01,1.707,47.35,26.11,102.23,18.97
2026-01-01 03:15:00,TR-01,TR-01-EP-02,1.54,52.45,26.97,82.25,17.59
2026-01-01 03:30:00,TR-01,TR-01-EP-03,1.585,52.75,26.93,93.73,20.92
2026-01-01 03:45:00,TR-01,TR-01-EP-04,1.53,51.12,28.41,87.21,25.49
2026-01-01 04:00:00,TR-01,TR-01-EP-01,1.706,48.26,26.58,102.09,18.97
2026-01-01 04:15:00,TR-01,TR-01-EP-02,1.543,53.1,27.46,82.62,17.6
2026-01-01 04:30:00,TR-01,TR-01-EP-03,1.593,53.02,27.43,94.78,20.95
2026-01-01 04:45:00,TR-01,TR-01-EP-04,1.544,50.96,28.91,88.96,25.54
2026-01-01 05:00:00,TR-01,TR-01-EP-01,1.706,49.1,27.06,102.11,18.97
2026-01-01 05:15:00,TR-01,TR-01-EP-02,1.547,53.64,27.96,83.19,17.61
2026-01-01 05:30:00,TR-01,TR-01-EP-03,1.603,53.17,27.93,96.02,20.98
2026-01-01 05:45:00,TR-01,TR-01-EP-04,1.56,50.68,29.38,90.87,25.59
2026-01-01 06:00:00,TR-01,TR-01-EP-01,1.707,49.88,27.56,102.29,18.97
2026-01-01 06:15:00,TR-01,TR-01-EP-02,1.553,54.08,28.46,83.95,17.63
2026-01-01 06:30:00,TR-01,TR-01-EP-03,1.614,53.19,28.41,97.44,21.01
2026-01-01 06:45:00,TR-01,TR-01-EP-04,1.576,50.28,29.84,92.91,25.64
2026-01-01 07:00:00,TR-01,TR-01-EP-01,1.71,50.56,28.06,102.62,18.98
2026-01-01 07:15:00,TR-01,TR-01-EP-02,1.56,54.4,28.95,84.87,17.65
2026-01-01 07:30:00,TR-01,TR-01-EP-03,1.626,53.08,28.88,99.01,21.05
2026-01-01 07:45:00,TR-01,TR-01-EP-04,1.594,49.77,30.26,95.05,25.7
2026-01-01 08:00:00,TR-01,TR-01-EP-01,1.713,51.15,28.55,103.1,18.99
2026-01-01 08:15:00,TR-01,TR-01-EP-02,1.568,54.6,29.42,85.96,17.68
2026-01-01 08:30:00,TR-01,TR-01-EP-03,1.64,52.85,29.32,100.71,21.09
2026-01-01 08:45:00,TR-01,TR-01-EP-04,1.611,49.16,30.65,97.25,25.75
2026-01-01 09:00:00,TR-01,TR-01-EP-01,1.718,51.64,29.04,103.72,19.01
2026-01-01 09:15:00,TR-01,TR-01-EP-02,1.577,54.68,29.87,87.18,17.71
2026-01-01 09:30:00,TR-01,TR-01-EP-03,1.654,52.51,29.72,102.52,21.14
2026-01-01 09:45:00,TR-01,TR-01-EP-04,1.63,48.45,30.99,99.49,25.81
2026-01-01 10:00:00,TR-01,TR-01-EP-01,1.723,52.01,29.5,104.47,19.02
2026-01-01 10:15:00,TR-01,TR-01-EP-02,1.587,54.63,30.29,88.53,17.74
2026-01-01 10:30:00,TR-01,TR-01-EP-03,1.668,52.05,30.09,104.4,21.19
2026-01-01 10:45:00,TR-01,TR-01-EP-04,1.648,47.66,31.29,101.73,25.87
2026-01-01 11:00:00,TR-01,TR-01-EP-01,1.729,52.27,29.93,105.34,19.04
2026-01-01 11:15:00,TR-01,TR-01-EP-02,1.598,54.46,30.68,89.97,17.77
2026-01-01 11:30:00,TR-01,TR-01-EP-03,1.683,51.48,30.41,106.33,21.23
2026-01-01 11:45:00,TR-01,TR-01-EP-04,1.665,46.8,31.54,103.93,25.93
2026-01-01 12:00:00,TR-01,TR-01-EP-01,1.736,52.4,30.34,106.32,19.07
2026-01-01 12:15:00,TR-01,TR-01-EP-02,1.61,54.16,31.02,91.49,17.81
2026-01-01 12:30:00,TR-01,TR-01-EP-03,1.699,50.81,30.68,108.27,21.28
2026-01-01 12:45:00,TR-01,TR-01-EP-04,1.683,45.88,31.73,106.06,25.98
2026-01-01 13:00:00,TR-01,TR-01-EP-01,1.744,52.41,30.7,107.39,19.09
2026-01-01 13:15:00,TR-01,TR-01-EP-02,1.621,53.75,31.31,93.07,17.85
2026-01-01 13:30:00,TR-01,TR-01-EP-03,1.714,50.06,30.89,110.2,21.33
2026-01-01 13:45:00,TR-01,TR-01-EP-04,1.699,44.92,31.86,108.08,26.03
2026-01-01 14:00:00,TR-01,TR-01-EP-01,1.752,52.29,31.01,108.54,19.12
2026-01-01 14:15:00,TR-01,TR-01-EP-02,1.633,53.23,31.55,94.68,17.89
2026-01-01 14:30:00,TR-01,TR-01-EP-03,1.728,49.23,31.05,112.08,21.38
2026-01-01 14:45:00,TR-01,TR-01-EP-04,1.714,43.94,31.93,109.97,26.08
2026-01-01 15:00:00,TR-01,TR-01-EP-01,1.761,52.05,31.28,109.74,19.15
2026-01-01 15:15:00,TR-01,TR-01-EP-02,1.646,52.61,31.74,96.29,17.93
2026-01-01 15:30:00,TR-01,TR-01-EP-03,1.742,48.33,31.15,113.89,21.42
2026-01-01 15:45:00,TR-01,TR-01-EP-04,1.728,42.94,31.94,111.69,26.13
2026-01-01 16:00:00,TR-01,TR-01-EP-01,1.77,51.69,31.49,110.98,19.17
2026-01-01 16:15:00,TR-01,TR-01-EP-02,1.657,51.89,31.86,97.88,17.96
2026-01-01 16:30:00,TR-01,TR-01-EP-03,1.756,47.39,31.18,115.6,21.46
2026-01-01 16:45:00,TR-01,TR-01-EP-04,1.74,41.94,31.88,113.21,26.17
